# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 250, i.e. number of multipoles equal to 249
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:aa                     7:aa_reco                8:aa_reio                9:aT                    10:aT_reco               11:aT_reio               12:aE                    13:aE_reco               14:aE_reio               15:TE_rot                16:TB_rot                17:EE_rot                18:BB_rot                19:EB_rot             
    2       1.381341230818e-10       4.175861549734e-15       3.515812939603e-13       0.000000000000e+00       5.049224213337e-11       5.049378260844e-11       1.673422402346e-20       6.564876794024e-11       6.564969691764e-11      -9.289773999043e-16       3.480633319743e-13       2.623321643807e-15      -7.794454202448e-18       7.686064239935e-15      -1.434094792663e-15       3.998790201788e-15       1.397627864700e-16      -7.475713270003e-16 
    3       1.306185885460e-10       5.350815548042e-15       3.951577471442e-13       0.000000000000e+00       4.977664975614e-11       4.977791759624e-11       1.471228098811e-20       6.719253835341e-11       6.719330034517e-11      -7.619917644805e-16       3.560964567886e-13       5.724765130558e-15      -8.291712499747e-18       9.203884393027e-15      -1.713831338608e-15       5.087649084078e-15       1.778027320899e-16      -9.510414673731e-16 
    4       1.235481144801e-10       4.626470882368e-15       3.695299416878e-13       0.000000000000e+00       4.923070889467e-11       4.923170510410e-11       1.195412985471e-20       6.667922583585e-11       6.667979430974e-11      -5.684738899378e-16       3.187088563211e-13       9.708518048132e-15      -6.809021952473e-18       7.424302128616e-15      -1.376284727294e-15       4.343762611844e-15       1.517578219875e-16      -8.117305794357e-16 
    5       1.182673896753e-10       3.084818203933e-15       3.146960157223e-13       0.000000000000e+00       4.876997825076e-11       4.877073419040e-11       9.315549710654e-21       6.562687479302e-11       6.562727443024e-11      -3.996372120933e-16       2.666031090974e-13       1.454843863150e-14      -4.478690356350e-18       4.637298859875e-15      -8.498827215325e-16       2.823378683748e-15       9.853109650462e-17      -5.270276812872e-16 
    6       1.146375558329e-10       1.723978386442e-15       2.534545530442e-13       0.000000000000e+00       4.835789715737e-11       4.835845524253e-11       7.204393982562e-21       6.446017032736e-11       6.446042961913e-11      -2.592917648758e-16       2.146001957091e-13       2.021149554004e-14      -2.402156049246e-18       2.539664034396e-15      -4.517498113562e-16       1.495759522315e-15       5.198244557042e-17      -2.780443881198e-16 
    7       1.122964067590e-10       9.313324204250e-16       1.990028532905e-13       0.000000000000e+00       4.797490237253e-11       4.797530530822e-11       6.102899959604e-21       6.329405471199e-11       6.329420231704e-11      -1.476050572438e-16       1.702078109546e-13       2.666559872388e-14      -1.176661507434e-18       1.533993320264e-15      -2.567212764812e-16       7.343391650294e-16       2.514357039553e-17      -1.344852614231e-16 
    8       1.109225029372e-10       6.010320407074e-16       1.571284067102e-13       0.000000000000e+00       4.761120813017e-11       4.761149379714e-11       6.191061492132e-21       6.215550709436e-11       6.215558000813e-11      -7.291377333364e-17       1.359776397565e-13       3.388139646104e-14      -7.810618326362e-19       1.232900390478e-15      -1.917269681497e-16       4.328657016376e-16       1.427763770172e-17      -7.636232647016e-17 
    9       1.102693511851e-10       4.824195665589e-16       1.291243068250e-13       0.000000000000e+00       4.726028230383e-11       4.726048157142e-11       7.162697911214e-21       6.104372405572e-11       6.104375655248e-11      -3.249676258950e-17       1.119005100252e-13       4.183099028197e-14      -8.096612953695e-19       1.159913720791e-15      -1.669476284149e-16       3.440893893527e-16       1.071746498882e-17      -5.731585149456e-17 
   10       1.101547181624e-10       4.107730332922e-16       1.136220651635e-13       0.000000000000e+00       4.691547398527e-11       4.691561095632e-11       9.333060297292e-21       5.994838922533e-11       5.994839565221e-11      -6.426881800565e-18       9.679533122399e-14       5.048542233892e-14      -8.187683824733e-19       1.094085768681e-15      -1.403180441532e-16       3.041282895946e-16       8.707907559238e-18      -4.656216800458e-17 
   11       1.104471640030e-10       3.446784830287e-16       1.079485966006e-13       0.000000000000e+00       4.657282058044e-11       4.657291357192e-11       1.168075730198e-20       5.885895389156e-11       5.885893368349e-11       2.020807858975e-17       8.909010494294e-14       5.981661121717e-14      -5.770289857455e-19       1.037424700101e-15      -1.114914877204e-16       2.693104653649e-16       6.693730050561e-18      -3.578231449810e-17 
