# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 250, i.e. number of multipoles equal to 249
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:aa                     7:aa_reco                8:aa_reio                9:aT                    10:aT_reco               11:aT_reio               12:aE                    13:aE_reco               14:aE_reio               15:TE_rot                16:TB_rot                17:EE_rot                18:BB_rot                19:EB_rot             
    2       1.381341229316e-10       4.175861407488e-15       3.515813103321e-13       0.000000000000e+00       3.325123017074e-14       2.008586444309e-22       3.324735176364e-14       3.671521365907e-13       9.932334529367e-17       3.670528132454e-13       1.070833403012e-14       4.588619480461e-21       1.067191727616e-14       3.568479796514e-15      -6.956237867922e-15       8.601061456377e-16       3.278446702045e-15      -1.679211764749e-15 
    3       1.306185903353e-10       5.350815458994e-15       3.951577522489e-13       0.000000000000e+00       2.330920825198e-14       1.837626811296e-22       2.330646612790e-14       2.089477413693e-13       8.968074328372e-17       2.088580606260e-13       9.409265391652e-15       8.909336657362e-21       9.360962465485e-15       4.277928153749e-15      -8.326005598531e-15       1.094459123449e-15       4.170992636681e-15      -2.136495147876e-15 
    4       1.235481183771e-10       4.626470972809e-15       3.695299666554e-13       0.000000000000e+00       1.637051096515e-14       1.674499795887e-22       1.636854741807e-14       1.061810667179e-13       7.702100026984e-17       1.061040457176e-13       6.464982852545e-15       1.336867197621e-20       6.414801264001e-15       3.459263824082e-15      -6.709158777697e-15       9.348486659206e-16       3.560671973106e-15      -1.824217939214e-15 
    5       1.182673971159e-10       3.084818367675e-15       3.146960569146e-13       0.000000000000e+00       1.152735299982e-14       1.520248917720e-22       1.152593189161e-14       4.913831141371e-14       6.496501294427e-17       4.907334640076e-14       3.539369284328e-15       1.769004833079e-20       3.492975878788e-15       2.174092572972e-15      -4.179543937753e-15       6.085881458629e-16       2.313321982509e-15      -1.185962449838e-15 
    6       1.146375581201e-10       1.723978466976e-15       2.534546199452e-13       0.000000000000e+00       8.147124120152e-15       1.375834707734e-22       8.146086596135e-15       1.988386887866e-14       5.444700328331e-17       1.982942187537e-14       1.365548845244e-15       2.170835021977e-20       1.325539720550e-15       1.209469148621e-15      -2.273434954180e-15       3.243062841842e-16       1.223436004936e-15      -6.287897888954e-16 
    7       1.122964020108e-10       9.313323232534e-16       1.990029059874e-13       0.000000000000e+00       5.786124592834e-15       1.241757191250e-22       5.785361769943e-15       5.726634556630e-15       4.556540684003e-17       5.681069149790e-15       8.567353862541e-17       2.534899296272e-20       5.273384898254e-17       7.526983739924e-16      -1.354879042744e-15       1.625023985079e-16       5.969805262790e-16      -3.095623870618e-16 
    8       1.109225010681e-10       6.010318130164e-16       1.571284125191e-13       0.000000000000e+00       4.133948748094e-15       1.118121844072e-22       4.133384719320e-15      -7.096211686670e-16       3.816577007990e-17      -7.477869387469e-16      -4.594276320446e-16       2.859781886669e-20      -4.856556231778e-16       6.250098441638e-16      -1.072378050074e-15       1.005246845003e-16       3.466186752595e-16      -1.837147937279e-16 
    9       1.102693585586e-10       4.824193381332e-16       1.291242849489e-13       0.000000000000e+00       2.974315453390e-15       1.004757435066e-22       2.973896506895e-15      -3.359121520857e-15       3.203034283721e-17      -3.391151863694e-15      -5.283960153775e-16       3.147610396147e-20      -5.487534396609e-16       6.064472948391e-16      -9.936630977739e-16       8.541390918125e-17       2.693928723949e-16      -1.474775989983e-16 
   10       1.101547260566e-10       4.107729465791e-16       1.136220486762e-13       0.000000000000e+00       2.157035943012e-15       9.013147609921e-23       2.156723590215e-15      -4.201449420681e-15       2.694654422421e-17      -4.228395964905e-15      -3.637733468408e-16       3.402512403525e-20      -3.792590666718e-16       5.955825244897e-16      -9.178139116580e-16       8.215797334960e-17       2.306782272934e-16      -1.320940596699e-16 
   11       1.104471669166e-10       3.446785872402e-16       1.079486425045e-13       0.000000000000e+00       1.578053492249e-15       8.073315171209e-23       1.577819867827e-15      -4.191851787000e-15       2.272979364908e-17      -4.214581580649e-15      -1.413557324797e-16       3.629698479640e-20      -1.529478365609e-16       5.943383384668e-16      -8.458297754267e-16       8.161468450019e-17       1.943896615445e-16      -1.192907435469e-16 
   12       1.110528200482e-10       2.997862206969e-16       1.090980769702e-13       0.000000000000e+00       1.165352146586e-15       7.222719475609e-23       1.165176910617e-15      -3.785000901639e-15       1.922739571800e-17      -3.804228297357e-15       3.888034744327e-17       3.834696524105e-20       3.031341629040e-17       6.301770994372e-16      -8.286949212758e-16       8.678695001907e-17       1.706647357524e-16      -1.144812582098e-16 
   13       1.119041758650e-10       2.871112999272e-16       1.143925299096e-13       0.000000000000e+00       8.690894288193e-16       6.455552080351e-23       8.689576394844e-16      -3.205645971553e-15       1.631496073162e-17      -3.221960932285e-15       1.396757132637e-16       4.022743634717e-20       1.334086190069e-16       7.090677632413e-16      -8.755818802797e-16       9.996950310469e-17       1.668724083323e-16      -1.216728489049e-16 
   14       1.129531431245e-10       2.986918452693e-16       1.217983536477e-13       0.000000000000e+00       6.547322424338e-16       5.765780715408e-23       6.546328695851e-16      -2.576579372482e-15       1.389086766388e-17      -2.590470240146e-15       1.650729660569e-16       4.198460900152e-20       1.605247970799e-16       8.184268514367e-16      -9.595057329748e-16       1.197099021135e-16       1.760382803616e-16      -1.375363295018e-16 
