# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 250, i.e. number of multipoles equal to 249
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:aa                     7:aa_reco                8:aa_reio                9:aT                    10:aT_reco               11:aT_reio               12:aE                    13:aE_reco               14:aE_reio               15:TE_rot                16:TB_rot                17:EE_rot                18:BB_rot                19:EB_rot             
    2       1.381341230515e-10       4.175861430089e-15       3.515813031707e-13       0.000000000000e+00       2.012392666886e-15       2.736498772746e-16       9.847091440906e-16       2.921293253723e-13       1.489670673228e-13       1.431622580495e-13       2.866437709355e-15       6.107245690587e-18       2.003939635315e-15       4.193748901032e-15      -6.590941882774e-15       1.186641945537e-15       2.951910922935e-15      -1.871487104920e-15 
    3       1.306185898520e-10       5.350815164734e-15       3.951577795869e-13       0.000000000000e+00       1.457657241535e-15       2.653493436680e-16       6.661674214985e-16       2.518672242227e-13       1.498098077235e-13       1.020574164992e-13       2.745713463494e-15       1.321048806609e-17       1.840933860226e-15       5.030338897192e-15      -7.876833872241e-15       1.510104065026e-15       3.755347421347e-15      -2.380865217292e-15 
    4       1.235481165933e-10       4.626470318640e-15       3.695299647256e-13       0.000000000000e+00       1.025739179646e-15       2.576048042023e-16       4.081533833442e-16       2.141252064383e-13       1.453923371304e-13       6.873286930784e-14       2.127489607633e-15       2.217490892711e-17       1.301634740421e-15       4.072729791694e-15      -6.325910434265e-15       1.290263498182e-15       3.205256512973e-15      -2.032128063119e-15 
    5       1.182673944130e-10       3.084817755898e-15       3.146960180294e-13       0.000000000000e+00       7.178611352865e-16       2.501263966641e-16       2.249052970183e-16       1.862056756868e-13       1.395190970661e-13       4.668657862068e-14       1.444625464467e-15       3.285535762831e-17       7.460000578025e-16       2.567598160255e-15      -3.907093825226e-15       8.408469872065e-16       2.081062443988e-15      -1.319429165475e-15 
    6       1.146375565282e-10       1.723978060470e-15       2.534545687247e-13       0.000000000000e+00       5.200538360197e-16       2.428357638089e-16       1.151004526803e-16       1.659426913597e-13       1.333440012487e-13       3.259869011100e-14       9.142956590733e-16       4.509438575798e-17       3.522038486591e-16       1.439471751033e-15      -2.077813707697e-15       4.498263512992e-16       1.097915347493e-15      -6.961738119026e-16 
    7       1.122964012330e-10       9.313320729825e-16       1.990028639266e-13       0.000000000000e+00       4.054705521804e-16       2.357170062533e-16       6.232434321222e-17       1.503143982574e-13       1.272382606958e-13       2.307613756155e-14       5.792217985019e-16       5.874383940082e-17       1.408844264370e-16       9.087058439692e-16      -1.182025692715e-15       2.284264121078e-16       5.310561145347e-16      -3.368696124062e-16 
    8       1.109224938486e-10       6.010317275644e-16       1.571283960478e-13       0.000000000000e+00       3.411928292604e-16       2.287772835522e-16       4.159487126934e-17       1.374914867434e-13       1.213282748400e-13       1.616321190339e-14       3.893229537705e-16       7.366978570259e-17       5.220862200578e-17       7.658522697478e-16      -8.839657576311e-16       1.455834742046e-16       3.015597048161e-16      -1.914869310477e-16 
    9       1.102693472618e-10       4.824194193338e-16       1.291243295671e-13       0.000000000000e+00       3.008128182009e-16       2.220248989446e-16       3.225413850141e-17       1.266904907574e-13       1.156505388980e-13       1.103995185945e-14       2.808649201936e-16       8.975032458886e-17       1.984388730369e-17       7.531642050496e-16      -7.709015968451e-16       1.284389252848e-16       2.263677996418e-16      -1.439773059672e-16 
   10       1.101547176939e-10       4.107730314647e-16       1.136221373412e-13       0.000000000000e+00       2.710104981606e-16       2.154632828458e-16       2.501685034161e-17       1.176198072938e-13       1.102053140645e-13       7.414493229374e-15       2.149887429785e-16       1.068717431435e-16       6.220906884433e-18       7.521275682396e-16      -6.495672810742e-16       1.289091962770e-16       1.839268866208e-16      -1.172864387715e-16 
   11       1.104471667856e-10       3.446785034816e-16       1.079487056996e-13       0.000000000000e+00       2.486786893744e-16       2.090980959727e-16       1.954293068456e-17       1.100999647592e-13       1.049808369268e-13       5.119127832385e-15       1.779264288641e-16       1.249317545270e-16       7.130502490488e-19       7.655920813523e-16      -5.184224181293e-16       1.346148692423e-16       1.413891973993e-16      -9.059929706393e-17 
