# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 250, i.e. number of multipoles equal to 249
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:aa                     7:aa_reco                8:aa_reio                9:aT                    10:aT_reco               11:aT_reio               12:aE                    13:aE_reco               14:aE_reio               15:TE_rot                16:TB_rot                17:EE_rot                18:BB_rot                19:EB_rot             
    2       1.381341183691e-10       4.175861427873e-15       3.515813396654e-13       0.000000000000e+00       4.811321676776e-17       2.073423846904e-26       4.811209726767e-17      -7.902173382897e-15       1.006659242970e-18      -7.903180042140e-15       3.324076600444e-16       4.654932273024e-23       3.314188951461e-16       7.646197033350e-15      -1.634605641715e-15       3.957640535544e-15       1.809123351627e-16      -8.461595070450e-16 
    3       1.306185761810e-10       5.350815456621e-15       3.951577702176e-13       0.000000000000e+00       2.506801072751e-17       1.896906866216e-26       2.506736016424e-17      -6.152890283693e-15       9.081791187577e-19      -6.153798462812e-15       2.421049298510e-16       9.029670262532e-23       2.410278251993e-16       9.155875677095e-15      -1.957120616042e-15       5.035280574185e-15       2.301711901263e-16      -1.076557491250e-15 
    4       1.235480968877e-10       4.626470979148e-15       3.695299742646e-13       0.000000000000e+00       1.408455812448e-17       1.728446891905e-26       1.408415142277e-17      -4.768787745434e-15       7.792713307724e-19      -4.769567016765e-15       1.434674674855e-16       1.353609448330e-22       1.424918287446e-16       7.385096944022e-15      -1.578206437996e-15       4.299012255730e-15       1.965083912490e-16      -9.191249986952e-16 
    5       1.182673714679e-10       3.084818417237e-15       3.146960484176e-13       0.000000000000e+00       8.354239024461e-18       1.569125241159e-26       8.353971913588e-18      -3.642145670464e-15       6.566849301235e-19      -3.642802355394e-15       6.875092540314e-17       1.789396168132e-22       6.793270750254e-17       4.612053683181e-15      -9.849704621474e-16       2.794202265036e-15       1.277079167690e-16      -5.973608236798e-16 
    6       1.146375308405e-10       1.723978545543e-15       2.534546029020e-13       0.000000000000e+00       5.164849543830e-18       1.419939264436e-26       5.164668028564e-18      -2.763616033053e-15       5.498628907348e-19      -2.764165895944e-15       2.209458712350e-17       2.193703336597e-22       2.143790412544e-17       2.524775091422e-15      -5.383143465566e-16       1.480124522076e-15       6.761784943553e-17      -3.163557965754e-16 
    7       1.122963729043e-10       9.313323695280e-16       1.990029056381e-13       0.000000000000e+00       3.301544031509e-18       1.281411451271e-26       3.301417611784e-18      -2.099174027297e-15       4.597598679970e-19      -2.099633787165e-15      -1.740886759198e-18       2.559131553885e-22      -2.252961761768e-18       1.523746840998e-15      -3.238356978123e-16       7.263535884655e-16       3.312937748866e-17      -1.551195450811e-16 
    8       1.109224699591e-10       6.010318162560e-16       1.571284034128e-13       0.000000000000e+00       2.170358370218e-18       1.153656886319e-26       2.170268706682e-18      -1.605478235471e-15       3.847697814474e-19      -1.605863005253e-15      -1.022199033155e-17       2.884415026908e-22      -1.061296787450e-17       1.223531061828e-15      -2.590843269315e-16       4.277120309786e-16       1.943133529996e-17      -9.115681795124e-17 
    9       1.102693225808e-10       4.824193853333e-16       1.291242534066e-13       0.000000000000e+00       1.461630284761e-18       1.036504555787e-26       1.461565810173e-18      -1.240963049088e-15       3.226531314019e-19      -1.241285702219e-15      -1.010588515868e-17       3.171866572426e-22      -1.039943697273e-17       1.150056836231e-15      -2.426538080185e-16       3.394736788162e-16       1.533315717883e-17      -7.213549955682e-17 
   10       1.101546931724e-10       4.107731018010e-16       1.136220419567e-13       0.000000000000e+00       1.005580204816e-18       9.295988932073e-27       1.005533347391e-18      -9.708748293696e-16       2.712315519535e-19      -9.711460609216e-16      -6.400049936446e-18       3.425804149927e-22      -6.617413865847e-18       1.083457231501e-15      -2.274865178245e-16       2.994206654158e-16       1.341566090210e-17      -6.336348008723e-17 
   11       1.104471357050e-10       3.446787885199e-16       1.079486807621e-13       0.000000000000e+00       7.052508005307e-19       8.324665292282e-27       7.052164582534e-19      -7.684890439896e-16       2.286178691739e-19      -7.687176618587e-16      -2.232586391017e-18       3.651616566908e-22      -2.391679660048e-18       1.025673630857e-15      -2.139507427036e-16       2.643066003603e-16       1.169788498307e-17      -5.558469274870e-17 
   12       1.110527882433e-10       2.997863453161e-16       1.090981257721e-13       0.000000000000e+00       5.033704953356e-19       7.445572562921e-27       5.033451517266e-19      -6.144306828712e-16       1.932536261230e-19      -6.146239364973e-16       8.474349840734e-19       3.854986143911e-22       7.321113618759e-19       1.033529197522e-15      -2.141507964121e-16       2.467016476811e-16       1.075013147931e-17      -5.147631585012e-17 
   13       1.119041430166e-10       2.871113094020e-16       1.143925500040e-13       0.000000000000e+00       3.651306918771e-19       6.652734230692e-27       3.651118800443e-19      -4.952135088822e-16       1.638711108188e-19      -4.953773799930e-16       2.408043522874e-18       4.041275244578e-22       2.325110631662e-18       1.117862301767e-15      -2.303618247794e-16       2.558514504191e-16       1.099050335888e-17      -5.300418256369e-17 
   14       1.129531226816e-10       2.986918049212e-16       1.217983520756e-13       0.000000000000e+00       2.688500946765e-19       5.939934715475e-27       2.688360599700e-19      -4.016740130767e-16       1.394358896927e-19      -4.018134489664e-16       2.669112738312e-18       4.215201302350e-22       2.609856920502e-18       1.249765062722e-15      -2.563621447673e-16       2.837020892798e-16       1.204610444758e-17      -5.843493154558e-17 
   15       1.141638155951e-10       3.227681367545e-16       1.300133991677e-13       0.000000000000e+00       2.007314055737e-19       5.300902141799e-27       2.007208863720e-19      -3.276110356769e-16       1.190946459826e-19      -3.277301303229e-16       2.121577392181e-18       4.380743464654e-22       2.079451099809e-18       1.406235979883e-15      -2.871945486028e-16       3.191685962531e-16       1.340531881504e-17      -6.538675619120e-17 
   16       1.155099589628e-10       3.568282193330e-16       1.383635699607e-13       0.000000000000e+00       1.518256505485e-19       4.729444048071e-27       1.518177319620e-19      -2.687072822135e-16       1.021352144369e-19      -2.688094174279e-16       1.267104330915e-18       4.541162152992e-22       1.237259909325e-18       1.591345176270e-15      -3.236913663909e-16       3.603839737303e-16       1.497776372679e-17      -7.344835142947e-17 
   17       1.169705398905e-10       4.063831789968e-16       1.466846429012e-13       0.000000000000e+00       1.162279076990e-19       4.219547345023e-27       1.162219217531e-19      -2.218158839143e-16       8.795865206023e-20      -2.219038425663e-16       4.774277223720e-19       4.699059669995e-22       4.563213735715e-19       1.824627857226e-15      -3.699906268135e-16       4.132486900063e-16       1.702800071312e-17      -8.386883041357e-17 
