# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:aa                     7:aa_reco                8:aa_reio                9:aT                    10:aT_reco               11:aT_reio               12:aE                    13:aE_reco               14:aE_reio               15:TE_rot                16:TB_rot                17:EE_rot                18:BB_rot                19:EB_rot             
    2       1.381342141024e-10       4.175851012920e-15       3.515804201946e-13       0.000000000000e+00       6.876160520800e-13       6.840105728648e-13       1.175172810950e-17       7.637461772873e-12       7.623782750422e-12       1.367902245080e-14       4.089129533964e-14       3.054705327221e-16       2.161073324388e-16       4.441140353053e-15      -6.427278842605e-15       1.331294205513e-15       2.807248352439e-15      -1.933103980129e-15 
    3       1.306186363329e-10       5.350806889086e-15       3.951568926690e-13       0.000000000000e+00       6.765898816856e-13       6.742163348728e-13       8.325848971267e-18       7.803117811848e-12       7.793577755399e-12       9.540056449148e-15       4.190012763608e-14       6.667540758496e-16       2.004844271085e-16       5.325989276287e-15      -7.681067707594e-15       1.694128744981e-15       3.571314649808e-15      -2.459250317811e-15 
    4       1.235481417948e-10       4.626470101917e-15       3.695301811767e-13       0.000000000000e+00       6.682588802989e-13       6.667303380122e-13       5.516855102715e-18       7.727308146456e-12       7.721091788045e-12       6.216358410620e-15       3.753448966910e-14       1.130975615715e-15       1.436397336840e-16       4.310153919282e-15      -6.168380513568e-15       1.447334183834e-15       3.048185524220e-15      -2.099021115925e-15 
    5       1.182674220132e-10       3.084816920906e-15       3.146959817623e-13       0.000000000000e+00       6.613839915656e-13       6.604158444818e-13       3.454969240068e-18       7.587986205186e-12       7.583858991243e-12       4.127213942224e-15       3.140692497165e-14       1.695158194212e-15       8.307951282572e-17       2.714218542516e-15      -3.809308298750e-15       9.428277864287e-16       1.979080781807e-15      -1.362830119886e-15 
    6       1.146375933375e-10       1.723977763918e-15       2.534545122197e-13       0.000000000000e+00       6.553882688381e-13       6.547829438445e-13       2.129918918773e-18       7.434777580942e-12       7.431892154710e-12       2.885426232313e-15       2.527556433760e-14       2.355521811056e-15       3.781431556864e-17       1.517415849852e-15      -2.025115710232e-15       5.036297482889e-16       1.044111707069e-15      -7.190112657086e-16 
    7       1.122964480470e-10       9.313321066444e-16       1.990028197284e-13       0.000000000000e+00       6.499476675746e-13       6.495730754436e-13       1.380030503236e-18       7.281010881526e-12       7.278980457170e-12       2.030424355729e-15       2.003195545142e-14       3.108402645107e-15       1.131308863417e-17       9.530110881787e-16      -1.151203330316e-15       2.544524074215e-16       5.050301806141e-16      -3.478115806805e-16 
    8       1.109225401142e-10       6.010319127159e-16       1.571283724664e-13       0.000000000000e+00       6.448845436053e-13       6.446545408350e-13       9.953109114280e-19       7.129917636680e-12       7.128539263457e-12       1.378373223336e-15       1.598025718108e-14       3.950459470556e-15      -1.081314799485e-18       7.989513618017e-16      -8.601051059531e-16       1.603645589721e-16       2.867787576869e-16      -1.975474924709e-16 
    9       1.102694002371e-10       4.824195492349e-16       1.291242941307e-13       0.000000000000e+00       6.400807923300e-13       6.399402911712e-13       8.480269131366e-19       6.981632882045e-12       6.980668416923e-12       9.644651216476e-16       1.312137816893e-14       4.878529418728e-15      -5.438192000564e-18       7.819955747610e-16      -7.492916017290e-16       1.395371262748e-16       2.152697269945e-16      -1.483422155529e-16 
   10       1.101547635178e-10       4.107730121003e-16       1.136220615123e-13       0.000000000000e+00       6.354331450252e-13       6.353475413612e-13       8.096539503883e-19       6.835166474277e-12       6.834344409977e-12       8.220642995022e-16       1.131849436678e-14       5.889358466970e-15      -5.854362495243e-18       7.763741264060e-16      -6.302545570444e-16       1.379300308964e-16       1.749061381548e-16      -1.205965270277e-16 
   11       1.104472246008e-10       3.446784331249e-16       1.079485866314e-13       0.000000000000e+00       6.308790560550e-13       6.308268495719e-13       8.015163772348e-19       6.689342356712e-12       6.688472730407e-12       8.696263049284e-16       1.038901297855e-14       6.979811333296e-15      -4.170738061100e-18       7.848775474989e-16      -5.014558136522e-16       1.415543490285e-16       1.344497879201e-16      -9.280174889575e-17 
